"Subject.Number" "Activity.Name" "feature.Domain" "feature.Device" "feature.Source.Signal" "feature.Is.Jerk" "feature.Is.Magnitude" "feature.Variable" "feature.Axial" "count" "average"
1 "LAYING" "time" "Accelerometer" "Gravity" "FALSE" "TRUE" "Mean" "NA" 50 0.0666995448508
1 "LAYING" "time" "Accelerometer" "Gravity" "FALSE" "TRUE" "Standard Deviation" "NA" 50 -0.07286727560152
1 "LAYING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "X" 50 0.0023694942968
1 "LAYING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Y" 50 -0.1192200556
1 "LAYING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Z" 50 0.082100413776
1 "LAYING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 50 -0.309912771914
1 "LAYING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 50 -0.156830119128
1 "LAYING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 50 -0.049000924972
1 "LAYING" "time" "Gyroscope" "Body" "FALSE" "TRUE" "Mean" "NA" 50 -0.003689165948
1 "LAYING" "time" "Gyroscope" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 50 -0.2012729240304
1 "LAYING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "X" 50 -0.14008977204
1 "LAYING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "Y" 50 -0.035962903857
1 "LAYING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "Z" 50 -0.078668334518
1 "LAYING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 50 -0.3718617374
1 "LAYING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 50 -0.505424366
1 "LAYING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 50 -0.2890897601
1 "LAYING" "time" "Gyroscope" "Body" "TRUE" "TRUE" "Mean" "NA" 50 -0.4208124294
1 "LAYING" "time" "Gyroscope" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 50 -0.517006789
1 "LAYING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "X" 50 -0.00589019898
1 "LAYING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Y" 50 0.088798753072
1 "LAYING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Z" 50 -0.292243548284
1 "LAYING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 50 0.00816988224
1 "LAYING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 50 0.0452724386776
1 "LAYING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 50 -0.280177867338
1 "LAYING" "frequency" "Accelerometer" "Body" "FALSE" "TRUE" "Mean" "NA" 50 -0.00143757178
1 "LAYING" "frequency" "Accelerometer" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 50 -0.26144403064
1 "LAYING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "X" 50 -0.04522344807
1 "LAYING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Y" 50 -0.054491215686
1 "LAYING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Z" 50 -0.400286680526
1 "LAYING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 50 -0.0732236727908
1 "LAYING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 50 -0.054751701382
1 "LAYING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 50 -0.5255952728
1 "LAYING" "frequency" "Accelerometer" "Body" "TRUE" "TRUE" "Mean" "NA" 50 0.00290915462
1 "LAYING" "frequency" "Accelerometer" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 50 -0.1199627983394
1 "LAYING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "X" 50 -0.1920386697182
1 "LAYING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Y" 50 -0.24869719872
1 "LAYING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Z" 50 0.01009944071
1 "LAYING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 50 -0.35082166482
1 "LAYING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 50 -0.11997987058
1 "LAYING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 50 -0.157365239404
1 "LAYING" "frequency" "Gyroscope" "Body" "FALSE" "TRUE" "Mean" "NA" 50 -0.26283217002
1 "LAYING" "frequency" "Gyroscope" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 50 -0.3009993734
1 "LAYING" "frequency" "Gyroscope" "Body" "TRUE" "TRUE" "Mean" "NA" 50 -0.5110524606
1 "LAYING" "frequency" "Gyroscope" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 50 -0.5616848154
1 "SITTING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "X" 47 0.263276365404255
1 "SITTING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Y" 47 -0.0243484207829787
1 "SITTING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Z" 47 -0.104083267776809
1 "SITTING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 47 -0.488716660704894
1 "SITTING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 47 -0.408436322680851
1 "SITTING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 47 -0.533758101540425
1 "SITTING" "time" "Accelerometer" "Body" "FALSE" "TRUE" "Mean" "NA" 47 -0.417346528723404
1 "SITTING" "time" "Accelerometer" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 47 -0.564884569595745
1 "SITTING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "X" 47 0.0890144645744681
1 "SITTING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Y" 47 0.0210599614589362
1 "SITTING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Z" 47 -0.0184015864725532
1 "SITTING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 47 -0.508676637412766
1 "SITTING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 47 -0.531368011531915
1 "SITTING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 47 -0.724861815744681
1 "SITTING" "time" "Accelerometer" "Body" "TRUE" "TRUE" "Mean" "NA" 47 -0.551127523797872
1 "SITTING" "time" "Accelerometer" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 47 -0.534391541489362
1 "SITTING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "X" 47 0.916013024042553
1 "SITTING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "Y" 47 -0.197675325412766
1 "SITTING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "Z" 47 -0.12852268984383
1 "SITTING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "X" 47 -0.965807464893617
1 "SITTING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "Y" 47 -0.966027185319149
1 "SITTING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "Z" 47 -0.937701861914894
1 "SITTING" "time" "Accelerometer" "Gravity" "FALSE" "TRUE" "Mean" "NA" 47 -0.417346528723404
1 "SITTING" "time" "Accelerometer" "Gravity" "FALSE" "TRUE" "Standard Deviation" "NA" 47 -0.564884569595745
1 "SITTING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "X" 47 0.0388333920955319
1 "SITTING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Y" 47 -0.116371649804255
1 "SITTING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Z" 47 0.0396746820042553
1 "SITTING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 47 -0.683098503617021
1 "SITTING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 47 -0.714835671489362
1 "SITTING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 47 -0.577515860234043
1 "SITTING" "time" "Gyroscope" "Body" "FALSE" "TRUE" "Mean" "NA" 47 -0.565757921408511
1 "SITTING" "time" "Gyroscope" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 47 -0.605243286029787
1 "SITTING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "X" 47 -0.10708416940234
1 "SITTING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "Y" 47 -0.0510132095382979
1 "SITTING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "Z" 47 -0.0629287505978723
1 "SITTING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 47 -0.698994444680851
1 "SITTING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 47 -0.829911517659574
1 "SITTING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 47 -0.750234615744681
1 "SITTING" "time" "Gyroscope" "Body" "TRUE" "TRUE" "Mean" "NA" 47 -0.774337904680851
1 "SITTING" "time" "Gyroscope" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 47 -0.820444296382979
1 "SITTING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "X" 47 -0.542667488578723
1 "SITTING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Y" 47 -0.455397825731915
1 "SITTING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Z" 47 -0.59289048887234
1 "SITTING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 47 -0.469715405585106
1 "SITTING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 47 -0.422139305508511
1 "SITTING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 47 -0.538997914489362
1 "SITTING" "frequency" "Accelerometer" "Body" "FALSE" "TRUE" "Mean" "NA" 47 -0.522425741529787
1 "SITTING" "frequency" "Accelerometer" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 47 -0.65916449212766
1 "SITTING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "X" 47 -0.518890272165958
1 "SITTING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Y" 47 -0.538730407702128
1 "SITTING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Z" 47 -0.696018378510638
1 "SITTING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 47 -0.542903844564894
1 "SITTING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 47 -0.557240997821277
1 "SITTING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 47 -0.752719192340426
1 "SITTING" "frequency" "Accelerometer" "Body" "TRUE" "TRUE" "Mean" "NA" 47 -0.515029200082979
1 "SITTING" "frequency" "Accelerometer" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 47 -0.563248534489362
1 "SITTING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "X" 47 -0.616892264468085
1 "SITTING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Y" 47 -0.732832558510638
1 "SITTING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Z" 47 -0.590165132
1 "SITTING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 47 -0.704884300425532
1 "SITTING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 47 -0.706940766595745
1 "SITTING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 47 -0.612704096744681
1 "SITTING" "frequency" "Gyroscope" "Body" "FALSE" "TRUE" "Mean" "NA" 47 -0.672650495744681
1 "SITTING" "frequency" "Gyroscope" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 47 -0.629347810617021
1 "SITTING" "frequency" "Gyroscope" "Body" "TRUE" "TRUE" "Mean" "NA" 47 -0.819271872765957
1 "SITTING" "frequency" "Gyroscope" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 47 -0.834725188510638
1 "STANDING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "X" 53 0.27569132754717
1 "STANDING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Y" 53 -0.0196068514681132
1 "STANDING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Z" 53 -0.110250377075472
1 "STANDING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 53 -0.958258649245283
1 "STANDING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 53 -0.899571751320755
1 "STANDING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 53 -0.900046348113207
1 "STANDING" "time" "Accelerometer" "Body" "FALSE" "TRUE" "Mean" "NA" 53 -0.923188671320755
1 "STANDING" "time" "Accelerometer" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 53 -0.913244458679245
1 "STANDING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "X" 53 0.0730913035849057
1 "STANDING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Y" 53 0.00798035607132076
1 "STANDING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Z" 53 0.00614230542811321
1 "STANDING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 53 -0.952344018113208
1 "STANDING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 53 -0.934384834150943
1 "STANDING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 53 -0.96430270490566
1 "STANDING" "time" "Accelerometer" "Body" "TRUE" "TRUE" "Mean" "NA" 53 -0.952290658113208
1 "STANDING" "time" "Accelerometer" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 53 -0.941000705660377
1 "STANDING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "X" 53 0.92993721754717
1 "STANDING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "Y" 53 -0.206058522396226
1 "STANDING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "Z" 53 0.0191527784716981
1 "STANDING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "X" 53 -0.991687410188679
1 "STANDING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "Y" 53 -0.972520633207547
1 "STANDING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "Z" 53 -0.950686651320755
1 "STANDING" "time" "Accelerometer" "Gravity" "FALSE" "TRUE" "Mean" "NA" 53 -0.923188671320755
1 "STANDING" "time" "Accelerometer" "Gravity" "FALSE" "TRUE" "Standard Deviation" "NA" 53 -0.913244458679245
1 "STANDING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "X" 53 -0.0410209603277358
1 "STANDING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Y" 53 -0.0645778277169811
1 "STANDING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Z" 53 0.100339108962264
1 "STANDING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 53 -0.912967752264151
1 "STANDING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 53 -0.935830619433962
1 "STANDING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 53 -0.921859189433962
1 "STANDING" "time" "Gyroscope" "Body" "FALSE" "TRUE" "Mean" "NA" 53 -0.900949881698113
1 "STANDING" "time" "Gyroscope" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 53 -0.896101880377358
1 "STANDING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "X" 53 -0.0960827655471698
1 "STANDING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "Y" 53 -0.0397815808188679
1 "STANDING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "Z" 53 -0.0557396705471698
1 "STANDING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 53 -0.940775488867925
1 "STANDING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 53 -0.971011296792453
1 "STANDING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 53 -0.956847550188679
1 "STANDING" "time" "Gyroscope" "Body" "TRUE" "TRUE" "Mean" "NA" 53 -0.962727109056604
1 "STANDING" "time" "Gyroscope" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 53 -0.959631438679245
1 "STANDING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "X" 53 -0.957781721886792
1 "STANDING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Y" 53 -0.909330812641509
1 "STANDING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Z" 53 -0.928409237735849
1 "STANDING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 53 -0.958889595660377
1 "STANDING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 53 -0.900506379433962
1 "STANDING" "frequency" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 53 -0.893200115660377
1 "STANDING" "frequency" "Accelerometer" "Body" "FALSE" "TRUE" "Mean" "NA" 53 -0.923876546981132
1 "STANDING" "frequency" "Accelerometer" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 53 -0.920537728490566
1 "STANDING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "X" 53 -0.954389756603774
1 "STANDING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Y" 53 -0.934839992830189
1 "STANDING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Z" 53 -0.959418186981132
1 "STANDING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 53 -0.954494617169811
1 "STANDING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 53 -0.938674015849057
1 "STANDING" "frequency" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 53 -0.967844049622641
1 "STANDING" "frequency" "Accelerometer" "Body" "TRUE" "TRUE" "Mean" "NA" 53 -0.942090021886792
1 "STANDING" "frequency" "Accelerometer" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 53 -0.938925610188679
1 "STANDING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "X" 53 -0.907300421509434
1 "STANDING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Y" 53 -0.94592801509434
1 "STANDING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Z" 53 -0.927497613396226
1 "STANDING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 53 -0.916038770377358
1 "STANDING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 53 -0.930869299622642
1 "STANDING" "frequency" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 53 -0.927520731886792
1 "STANDING" "frequency" "Gyroscope" "Body" "FALSE" "TRUE" "Mean" "NA" 53 -0.923079918113208
1 "STANDING" "frequency" "Gyroscope" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 53 -0.897936335849057
1 "STANDING" "frequency" "Gyroscope" "Body" "TRUE" "TRUE" "Mean" "NA" 53 -0.962640781132076
1 "STANDING" "frequency" "Gyroscope" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 53 -0.958553648867925
1 "WALKING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "X" 95 0.247200193642105
1 "WALKING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Y" 95 -0.0233182518463158
1 "WALKING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Z" 95 -0.0930450283894737
1 "WALKING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 95 -0.826329486
1 "WALKING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 95 -0.697545387063158
1 "WALKING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 95 -0.77600016552
1 "WALKING" "time" "Accelerometer" "Body" "FALSE" "TRUE" "Mean" "NA" 95 -0.75820162751579
1 "WALKING" "time" "Accelerometer" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 95 -0.755206764021053
1 "WALKING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "X" 95 0.0729633285789474
1 "WALKING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Y" 95 0.00998333720673684
1 "WALKING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Z" 95 -0.0209055474101895
1 "WALKING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 95 -0.823703602833684
1 "WALKING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 95 -0.776332197438947
1 "WALKING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 95 -0.889909072947368
1 "WALKING" "time" "Accelerometer" "Body" "TRUE" "TRUE" "Mean" "NA" 95 -0.824003557242105
1 "WALKING" "time" "Accelerometer" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 95 -0.811784151347368
1 "WALKING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "X" 95 0.550575239547368
1 "WALKING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "Y" 95 0.111004015705263
1 "WALKING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "Z" 95 0.297227207541053
1 "WALKING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "X" 95 -0.943757340421053
1 "WALKING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "Y" 95 -0.923422339873684
1 "WALKING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "Z" 95 -0.931266859368421
1 "WALKING" "time" "Accelerometer" "Gravity" "FALSE" "TRUE" "Mean" "NA" 95 -0.75820162751579
1 "WALKING" "time" "Accelerometer" "Gravity" "FALSE" "TRUE" "Standard Deviation" "NA" 95 -0.755206764021053
1 "WALKING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "X" 95 -0.0260585704284211
1 "WALKING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Y" 95 -0.0813959911936842
1 "WALKING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Mean" "Z" 95 0.0981720203031579
1 "WALKING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 95 -0.844831509378947
1 "WALKING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 95 -0.79247789888421
1 "WALKING" "time" "Gyroscope" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 95 -0.825883936736842
1 "WALKING" "time" "Gyroscope" "Body" "FALSE" "TRUE" "Mean" "NA" 95 -0.772722088768421
1 "WALKING" "time" "Gyroscope" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 95 -0.764149351073684
1 "WALKING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "X" 95 -0.0944218690842105
1 "WALKING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "Y" 95 -0.0492472368894737
1 "WALKING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Mean" "Z" 95 -0.0550479146736842
1 "WALKING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 95 -0.827959209052632
1 "WALKING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 95 -0.867853557789474
1 "WALKING" "time" "Gyroscope" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 95 -0.869067505473684
